filename,label,label_id,subject,activity,clip,frame
data\fall_data\Subject1\Activity1\1\img_000028.png,no_fall,0,Subject1,Activity1,1,28
data\fall_data\Subject1\Activity1\1\img_000029.png,no_fall,0,Subject1,Activity1,1,29
data\fall_data\Subject1\Activity1\1\img_000030.png,no_fall,0,Subject1,Activity1,1,30
data\fall_data\Subject1\Activity1\1\img_000031.png,no_fall,0,Subject1,Activity1,1,31
data\fall_data\Subject1\Activity1\1\img_000032.png,no_fall,0,Subject1,Activity1,1,32
data\fall_data\Subject1\Activity1\1\img_000033.png,no_fall,0,Subject1,Activity1,1,33
data\fall_data\Subject1\Activity1\1\img_000034.png,no_fall,0,Subject1,Activity1,1,34
data\fall_data\Subject1\Activity1\1\img_000035.png,no_fall,0,Subject1,Activity1,1,35
data\fall_data\Subject1\Activity1\1\img_000036.png,no_fall,0,Subject1,Activity1,1,36
data\fall_data\Subject1\Activity1\1\img_000037.png,no_fall,0,Subject1,Activity1,1,37
data\fall_data\Subject1\Activity1\1\img_000038.png,no_fall,0,Subject1,Activity1,1,38
data\fall_data\Subject1\Activity1\1\img_000039.png,no_fall,0,Subject1,Activity1,1,39
data\fall_data\Subject1\Activity1\1\img_000040.png,no_fall,0,Subject1,Activity1,1,40
data\fall_data\Subject1\Activity1\1\img_000041.png,no_fall,0,Subject1,Activity1,1,41
data\fall_data\Subject1\Activity1\1\img_000042.png,no_fall,0,Subject1,Activity1,1,42
data\fall_data\Subject1\Activity1\1\img_000043.png,no_fall,0,Subject1,Activity1,1,43
data\fall_data\Subject1\Activity1\1\img_000044.png,no_fall,0,Subject1,Activity1,1,44
data\fall_data\Subject1\Activity1\1\img_000045.png,no_fall,0,Subject1,Activity1,1,45
data\fall_data\Subject1\Activity1\1\img_000046.png,no_fall,0,Subject1,Activity1,1,46
data\fall_data\Subject1\Activity1\1\img_000047.png,no_fall,0,Subject1,Activity1,1,47
data\fall_data\Subject1\Activity1\1\img_000048.png,no_fall,0,Subject1,Activity1,1,48
data\fall_data\Subject1\Activity1\1\img_000049.png,no_fall,0,Subject1,Activity1,1,49
data\fall_data\Subject1\Activity1\1\img_000050.png,no_fall,0,Subject1,Activity1,1,50
data\fall_data\Subject1\Activity1\1\img_000051.png,no_fall,0,Subject1,Activity1,1,51
data\fall_data\Subject1\Activity1\1\img_000052.png,no_fall,0,Subject1,Activity1,1,52
data\fall_data\Subject1\Activity1\1\img_000053.png,no_fall,0,Subject1,Activity1,1,53
data\fall_data\Subject1\Activity1\1\img_000054.png,no_fall,0,Subject1,Activity1,1,54
data\fall_data\Subject1\Activity1\1\img_000055.png,no_fall,0,Subject1,Activity1,1,55
data\fall_data\Subject1\Activity1\1\img_000056.png,no_fall,0,Subject1,Activity1,1,56
data\fall_data\Subject1\Activity1\1\img_000057.png,no_fall,0,Subject1,Activity1,1,57
data\fall_data\Subject1\Activity1\1\img_000058.png,no_fall,0,Subject1,Activity1,1,58
data\fall_data\Subject1\Activity1\1\img_000059.png,no_fall,0,Subject1,Activity1,1,59
data\fall_data\Subject1\Activity1\1\img_000060.png,no_fall,0,Subject1,Activity1,1,60
data\fall_data\Subject1\Activity1\1\img_000061.png,no_fall,0,Subject1,Activity1,1,61
data\fall_data\Subject1\Activity1\1\img_000062.png,no_fall,0,Subject1,Activity1,1,62
data\fall_data\Subject1\Activity1\1\img_000063.png,no_fall,0,Subject1,Activity1,1,63
data\fall_data\Subject1\Activity1\1\img_000064.png,no_fall,0,Subject1,Activity1,1,64
data\fall_data\Subject1\Activity1\1\img_000065.png,no_fall,0,Subject1,Activity1,1,65
data\fall_data\Subject1\Activity1\1\img_000066.png,no_fall,0,Subject1,Activity1,1,66
data\fall_data\Subject1\Activity1\1\img_000067.png,no_fall,0,Subject1,Activity1,1,67
data\fall_data\Subject1\Activity1\1\img_000068.png,no_fall,0,Subject1,Activity1,1,68
data\fall_data\Subject1\Activity1\1\img_000069.png,no_fall,0,Subject1,Activity1,1,69
data\fall_data\Subject1\Activity1\1\img_000070.png,no_fall,0,Subject1,Activity1,1,70
data\fall_data\Subject1\Activity1\1\img_000071.png,pre_fall,1,Subject1,Activity1,1,71
data\fall_data\Subject1\Activity1\1\img_000072.png,pre_fall,1,Subject1,Activity1,1,72
data\fall_data\Subject1\Activity1\1\img_000073.png,pre_fall,1,Subject1,Activity1,1,73
data\fall_data\Subject1\Activity1\1\img_000074.png,pre_fall,1,Subject1,Activity1,1,74
data\fall_data\Subject1\Activity1\1\img_000075.png,pre_fall,1,Subject1,Activity1,1,75
data\fall_data\Subject1\Activity1\1\img_000076.png,pre_fall,1,Subject1,Activity1,1,76
data\fall_data\Subject1\Activity1\1\img_000077.png,pre_fall,1,Subject1,Activity1,1,77
data\fall_data\Subject1\Activity1\1\img_000078.png,pre_fall,1,Subject1,Activity1,1,78
data\fall_data\Subject1\Activity1\1\img_000079.png,pre_fall,1,Subject1,Activity1,1,79
data\fall_data\Subject1\Activity1\1\img_000080.png,pre_fall,1,Subject1,Activity1,1,80
data\fall_data\Subject1\Activity1\1\img_000081.png,fall,2,Subject1,Activity1,1,81
data\fall_data\Subject1\Activity1\1\img_000082.png,fall,2,Subject1,Activity1,1,82
data\fall_data\Subject1\Activity1\1\img_000083.png,fall,2,Subject1,Activity1,1,83
data\fall_data\Subject1\Activity1\1\img_000084.png,fall,2,Subject1,Activity1,1,84
data\fall_data\Subject1\Activity1\1\img_000085.png,fall,2,Subject1,Activity1,1,85
data\fall_data\Subject1\Activity1\1\img_000086.png,fall,2,Subject1,Activity1,1,86
data\fall_data\Subject1\Activity1\1\img_000087.png,fall,2,Subject1,Activity1,1,87
data\fall_data\Subject1\Activity1\1\img_000088.png,fall,2,Subject1,Activity1,1,88
data\fall_data\Subject1\Activity1\1\img_000089.png,fall,2,Subject1,Activity1,1,89
data\fall_data\Subject1\Activity1\1\img_000090.png,fall,2,Subject1,Activity1,1,90
data\fall_data\Subject1\Activity1\1\img_000091.png,fall,2,Subject1,Activity1,1,91
data\fall_data\Subject1\Activity1\1\img_000092.png,fall,2,Subject1,Activity1,1,92
data\fall_data\Subject1\Activity1\1\img_000093.png,fall,2,Subject1,Activity1,1,93
data\fall_data\Subject1\Activity1\1\img_000094.png,fall,2,Subject1,Activity1,1,94
data\fall_data\Subject1\Activity1\1\img_000095.png,fall,2,Subject1,Activity1,1,95
data\fall_data\Subject1\Activity1\1\img_000096.png,fall,2,Subject1,Activity1,1,96
data\fall_data\Subject1\Activity1\1\img_000097.png,fall,2,Subject1,Activity1,1,97
data\fall_data\Subject1\Activity1\1\img_000098.png,fall,2,Subject1,Activity1,1,98
data\fall_data\Subject1\Activity1\1\img_000099.png,fall,2,Subject1,Activity1,1,99
data\fall_data\Subject1\Activity1\1\img_000100.png,fall,2,Subject1,Activity1,1,100
data\fall_data\Subject1\Activity1\1\img_000101.png,fall,2,Subject1,Activity1,1,101
data\fall_data\Subject1\Activity1\1\img_000102.png,fall,2,Subject1,Activity1,1,102
data\fall_data\Subject1\Activity1\1\img_000103.png,fall,2,Subject1,Activity1,1,103
data\fall_data\Subject1\Activity1\1\img_000104.png,fall,2,Subject1,Activity1,1,104
data\fall_data\Subject1\Activity1\1\img_000105.png,fall,2,Subject1,Activity1,1,105
data\fall_data\Subject1\Activity1\1\img_000106.png,fall,2,Subject1,Activity1,1,106
data\fall_data\Subject1\Activity1\1\img_000107.png,fall,2,Subject1,Activity1,1,107
data\fall_data\Subject1\Activity1\1\img_000108.png,fall,2,Subject1,Activity1,1,108
data\fall_data\Subject1\Activity1\1\img_000109.png,fall,2,Subject1,Activity1,1,109
data\fall_data\Subject1\Activity1\1\img_000110.png,fall,2,Subject1,Activity1,1,110
data\fall_data\Subject1\Activity1\1\img_000111.png,fall,2,Subject1,Activity1,1,111
data\fall_data\Subject1\Activity1\1\img_000112.png,fall,2,Subject1,Activity1,1,112
data\fall_data\Subject1\Activity1\2\img_000001.png,no_fall,0,Subject1,Activity1,2,1
data\fall_data\Subject1\Activity1\2\img_000002.png,no_fall,0,Subject1,Activity1,2,2
data\fall_data\Subject1\Activity1\2\img_000003.png,no_fall,0,Subject1,Activity1,2,3
data\fall_data\Subject1\Activity1\2\img_000004.png,no_fall,0,Subject1,Activity1,2,4
data\fall_data\Subject1\Activity1\2\img_000005.png,no_fall,0,Subject1,Activity1,2,5
data\fall_data\Subject1\Activity1\2\img_000006.png,no_fall,0,Subject1,Activity1,2,6
data\fall_data\Subject1\Activity1\2\img_000007.png,no_fall,0,Subject1,Activity1,2,7
data\fall_data\Subject1\Activity1\2\img_000008.png,no_fall,0,Subject1,Activity1,2,8
data\fall_data\Subject1\Activity1\2\img_000009.png,no_fall,0,Subject1,Activity1,2,9
data\fall_data\Subject1\Activity1\2\img_000010.png,no_fall,0,Subject1,Activity1,2,10
data\fall_data\Subject1\Activity1\2\img_000011.png,no_fall,0,Subject1,Activity1,2,11
data\fall_data\Subject1\Activity1\2\img_000012.png,no_fall,0,Subject1,Activity1,2,12
data\fall_data\Subject1\Activity1\2\img_000013.png,no_fall,0,Subject1,Activity1,2,13
data\fall_data\Subject1\Activity1\2\img_000014.png,no_fall,0,Subject1,Activity1,2,14
data\fall_data\Subject1\Activity1\2\img_000015.png,no_fall,0,Subject1,Activity1,2,15
data\fall_data\Subject1\Activity1\2\img_000016.png,no_fall,0,Subject1,Activity1,2,16
data\fall_data\Subject1\Activity1\2\img_000017.png,no_fall,0,Subject1,Activity1,2,17
data\fall_data\Subject1\Activity1\2\img_000018.png,no_fall,0,Subject1,Activity1,2,18
data\fall_data\Subject1\Activity1\2\img_000019.png,no_fall,0,Subject1,Activity1,2,19
data\fall_data\Subject1\Activity1\2\img_000020.png,no_fall,0,Subject1,Activity1,2,20
data\fall_data\Subject1\Activity1\2\img_000021.png,no_fall,0,Subject1,Activity1,2,21
data\fall_data\Subject1\Activity1\2\img_000022.png,no_fall,0,Subject1,Activity1,2,22
data\fall_data\Subject1\Activity1\2\img_000023.png,no_fall,0,Subject1,Activity1,2,23
data\fall_data\Subject1\Activity1\2\img_000024.png,no_fall,0,Subject1,Activity1,2,24
data\fall_data\Subject1\Activity1\2\img_000025.png,no_fall,0,Subject1,Activity1,2,25
data\fall_data\Subject1\Activity1\2\img_000026.png,no_fall,0,Subject1,Activity1,2,26
data\fall_data\Subject1\Activity1\2\img_000027.png,no_fall,0,Subject1,Activity1,2,27
data\fall_data\Subject1\Activity1\2\img_000028.png,no_fall,0,Subject1,Activity1,2,28
data\fall_data\Subject1\Activity1\2\img_000029.png,no_fall,0,Subject1,Activity1,2,29
data\fall_data\Subject1\Activity1\2\img_000030.png,no_fall,0,Subject1,Activity1,2,30
data\fall_data\Subject1\Activity1\2\img_000031.png,no_fall,0,Subject1,Activity1,2,31
data\fall_data\Subject1\Activity1\2\img_000032.png,no_fall,0,Subject1,Activity1,2,32
data\fall_data\Subject1\Activity1\2\img_000033.png,no_fall,0,Subject1,Activity1,2,33
data\fall_data\Subject1\Activity1\2\img_000034.png,no_fall,0,Subject1,Activity1,2,34
data\fall_data\Subject1\Activity1\2\img_000035.png,no_fall,0,Subject1,Activity1,2,35
data\fall_data\Subject1\Activity1\2\img_000036.png,no_fall,0,Subject1,Activity1,2,36
data\fall_data\Subject1\Activity1\2\img_000037.png,no_fall,0,Subject1,Activity1,2,37
data\fall_data\Subject1\Activity1\2\img_000038.png,no_fall,0,Subject1,Activity1,2,38
data\fall_data\Subject1\Activity1\2\img_000039.png,no_fall,0,Subject1,Activity1,2,39
data\fall_data\Subject1\Activity1\2\img_000040.png,no_fall,0,Subject1,Activity1,2,40
data\fall_data\Subject1\Activity1\2\img_000041.png,no_fall,0,Subject1,Activity1,2,41
data\fall_data\Subject1\Activity1\2\img_000042.png,no_fall,0,Subject1,Activity1,2,42
data\fall_data\Subject1\Activity1\2\img_000043.png,no_fall,0,Subject1,Activity1,2,43
data\fall_data\Subject1\Activity1\2\img_000044.png,no_fall,0,Subject1,Activity1,2,44
data\fall_data\Subject1\Activity1\2\img_000045.png,no_fall,0,Subject1,Activity1,2,45
data\fall_data\Subject1\Activity1\2\img_000046.png,no_fall,0,Subject1,Activity1,2,46
data\fall_data\Subject1\Activity1\2\img_000047.png,no_fall,0,Subject1,Activity1,2,47
data\fall_data\Subject1\Activity1\2\img_000048.png,no_fall,0,Subject1,Activity1,2,48
data\fall_data\Subject1\Activity1\2\img_000049.png,no_fall,0,Subject1,Activity1,2,49
data\fall_data\Subject1\Activity1\2\img_000050.png,no_fall,0,Subject1,Activity1,2,50
data\fall_data\Subject1\Activity1\2\img_000051.png,no_fall,0,Subject1,Activity1,2,51
data\fall_data\Subject1\Activity1\2\img_000052.png,no_fall,0,Subject1,Activity1,2,52
data\fall_data\Subject1\Activity1\2\img_000053.png,no_fall,0,Subject1,Activity1,2,53
data\fall_data\Subject1\Activity1\2\img_000054.png,no_fall,0,Subject1,Activity1,2,54
data\fall_data\Subject1\Activity1\2\img_000055.png,no_fall,0,Subject1,Activity1,2,55
data\fall_data\Subject1\Activity1\2\img_000056.png,no_fall,0,Subject1,Activity1,2,56
data\fall_data\Subject1\Activity1\2\img_000057.png,no_fall,0,Subject1,Activity1,2,57
data\fall_data\Subject1\Activity1\2\img_000058.png,no_fall,0,Subject1,Activity1,2,58
data\fall_data\Subject1\Activity1\2\img_000059.png,no_fall,0,Subject1,Activity1,2,59
data\fall_data\Subject1\Activity1\2\img_000060.png,no_fall,0,Subject1,Activity1,2,60
data\fall_data\Subject1\Activity1\2\img_000061.png,no_fall,0,Subject1,Activity1,2,61
data\fall_data\Subject1\Activity1\2\img_000062.png,no_fall,0,Subject1,Activity1,2,62
data\fall_data\Subject1\Activity1\2\img_000063.png,no_fall,0,Subject1,Activity1,2,63
data\fall_data\Subject1\Activity1\2\img_000064.png,no_fall,0,Subject1,Activity1,2,64
data\fall_data\Subject1\Activity1\2\img_000065.png,no_fall,0,Subject1,Activity1,2,65
data\fall_data\Subject1\Activity1\2\img_000066.png,no_fall,0,Subject1,Activity1,2,66
data\fall_data\Subject1\Activity1\2\img_000067.png,no_fall,0,Subject1,Activity1,2,67
data\fall_data\Subject1\Activity1\2\img_000068.png,no_fall,0,Subject1,Activity1,2,68
data\fall_data\Subject1\Activity1\2\img_000069.png,no_fall,0,Subject1,Activity1,2,69
data\fall_data\Subject1\Activity1\2\img_000070.png,no_fall,0,Subject1,Activity1,2,70
data\fall_data\Subject1\Activity1\2\img_000071.png,pre_fall,1,Subject1,Activity1,2,71
data\fall_data\Subject1\Activity1\2\img_000072.png,pre_fall,1,Subject1,Activity1,2,72
data\fall_data\Subject1\Activity1\2\img_000073.png,pre_fall,1,Subject1,Activity1,2,73
data\fall_data\Subject1\Activity1\2\img_000074.png,pre_fall,1,Subject1,Activity1,2,74
data\fall_data\Subject1\Activity1\2\img_000075.png,pre_fall,1,Subject1,Activity1,2,75
data\fall_data\Subject1\Activity1\2\img_000076.png,pre_fall,1,Subject1,Activity1,2,76
data\fall_data\Subject1\Activity1\2\img_000077.png,pre_fall,1,Subject1,Activity1,2,77
data\fall_data\Subject1\Activity1\2\img_000078.png,pre_fall,1,Subject1,Activity1,2,78
data\fall_data\Subject1\Activity1\2\img_000079.png,pre_fall,1,Subject1,Activity1,2,79
data\fall_data\Subject1\Activity1\2\img_000080.png,pre_fall,1,Subject1,Activity1,2,80
data\fall_data\Subject1\Activity1\2\img_000081.png,fall,2,Subject1,Activity1,2,81
data\fall_data\Subject1\Activity1\2\img_000082.png,fall,2,Subject1,Activity1,2,82
data\fall_data\Subject1\Activity1\2\img_000083.png,fall,2,Subject1,Activity1,2,83
data\fall_data\Subject1\Activity1\2\img_000084.png,fall,2,Subject1,Activity1,2,84
data\fall_data\Subject1\Activity1\2\img_000085.png,fall,2,Subject1,Activity1,2,85
data\fall_data\Subject1\Activity1\2\img_000086.png,fall,2,Subject1,Activity1,2,86
data\fall_data\Subject1\Activity1\2\img_000087.png,fall,2,Subject1,Activity1,2,87
data\fall_data\Subject1\Activity1\2\img_000088.png,fall,2,Subject1,Activity1,2,88
data\fall_data\Subject1\Activity1\2\img_000089.png,fall,2,Subject1,Activity1,2,89
data\fall_data\Subject1\Activity1\2\img_000090.png,fall,2,Subject1,Activity1,2,90
data\fall_data\Subject1\Activity1\2\img_000091.png,fall,2,Subject1,Activity1,2,91
data\fall_data\Subject1\Activity1\2\img_000092.png,fall,2,Subject1,Activity1,2,92
data\fall_data\Subject1\Activity1\2\img_000093.png,fall,2,Subject1,Activity1,2,93
data\fall_data\Subject1\Activity1\2\img_000094.png,fall,2,Subject1,Activity1,2,94
data\fall_data\Subject1\Activity1\2\img_000095.png,fall,2,Subject1,Activity1,2,95
data\fall_data\Subject1\Activity1\2\img_000096.png,fall,2,Subject1,Activity1,2,96
data\fall_data\Subject1\Activity1\2\img_000097.png,fall,2,Subject1,Activity1,2,97
data\fall_data\Subject1\Activity1\2\img_000098.png,fall,2,Subject1,Activity1,2,98
data\fall_data\Subject1\Activity1\2\img_000099.png,fall,2,Subject1,Activity1,2,99
data\fall_data\Subject1\Activity1\2\img_000100.png,fall,2,Subject1,Activity1,2,100
data\fall_data\Subject1\Activity1\2\img_000101.png,fall,2,Subject1,Activity1,2,101
data\fall_data\Subject1\Activity1\2\img_000102.png,fall,2,Subject1,Activity1,2,102
data\fall_data\Subject1\Activity1\2\img_000103.png,fall,2,Subject1,Activity1,2,103
data\fall_data\Subject1\Activity1\2\img_000104.png,fall,2,Subject1,Activity1,2,104
data\fall_data\Subject1\Activity1\2\img_000105.png,fall,2,Subject1,Activity1,2,105
data\fall_data\Subject1\Activity1\2\img_000106.png,fall,2,Subject1,Activity1,2,106
data\fall_data\Subject1\Activity1\2\img_000107.png,fall,2,Subject1,Activity1,2,107
data\fall_data\Subject1\Activity1\2\img_000108.png,fall,2,Subject1,Activity1,2,108
data\fall_data\Subject1\Activity1\2\img_000109.png,fall,2,Subject1,Activity1,2,109
data\fall_data\Subject1\Activity1\2\img_000110.png,fall,2,Subject1,Activity1,2,110
data\fall_data\Subject1\Activity1\2\img_000111.png,fall,2,Subject1,Activity1,2,111
data\fall_data\Subject1\Activity1\2\img_000112.png,fall,2,Subject1,Activity1,2,112
data\fall_data\Subject1\Activity1\3\img_000001.png,no_fall,0,Subject1,Activity1,3,1
data\fall_data\Subject1\Activity1\3\img_000002.png,no_fall,0,Subject1,Activity1,3,2
data\fall_data\Subject1\Activity1\3\img_000003.png,no_fall,0,Subject1,Activity1,3,3
data\fall_data\Subject1\Activity1\3\img_000004.png,no_fall,0,Subject1,Activity1,3,4
data\fall_data\Subject1\Activity1\3\img_000005.png,no_fall,0,Subject1,Activity1,3,5
data\fall_data\Subject1\Activity1\3\img_000006.png,no_fall,0,Subject1,Activity1,3,6
data\fall_data\Subject1\Activity1\3\img_000007.png,no_fall,0,Subject1,Activity1,3,7
data\fall_data\Subject1\Activity1\3\img_000008.png,no_fall,0,Subject1,Activity1,3,8
data\fall_data\Subject1\Activity1\3\img_000009.png,no_fall,0,Subject1,Activity1,3,9
data\fall_data\Subject1\Activity1\3\img_000010.png,no_fall,0,Subject1,Activity1,3,10
data\fall_data\Subject1\Activity1\3\img_000011.png,no_fall,0,Subject1,Activity1,3,11
data\fall_data\Subject1\Activity1\3\img_000012.png,no_fall,0,Subject1,Activity1,3,12
data\fall_data\Subject1\Activity1\3\img_000013.png,no_fall,0,Subject1,Activity1,3,13
data\fall_data\Subject1\Activity1\3\img_000014.png,no_fall,0,Subject1,Activity1,3,14
data\fall_data\Subject1\Activity1\3\img_000015.png,no_fall,0,Subject1,Activity1,3,15
data\fall_data\Subject1\Activity1\3\img_000016.png,no_fall,0,Subject1,Activity1,3,16
data\fall_data\Subject1\Activity1\3\img_000017.png,no_fall,0,Subject1,Activity1,3,17
data\fall_data\Subject1\Activity1\3\img_000018.png,no_fall,0,Subject1,Activity1,3,18
data\fall_data\Subject1\Activity1\3\img_000019.png,no_fall,0,Subject1,Activity1,3,19
data\fall_data\Subject1\Activity1\3\img_000020.png,no_fall,0,Subject1,Activity1,3,20
data\fall_data\Subject1\Activity1\3\img_000021.png,no_fall,0,Subject1,Activity1,3,21
data\fall_data\Subject1\Activity1\3\img_000022.png,no_fall,0,Subject1,Activity1,3,22
data\fall_data\Subject1\Activity1\3\img_000023.png,no_fall,0,Subject1,Activity1,3,23
data\fall_data\Subject1\Activity1\3\img_000024.png,no_fall,0,Subject1,Activity1,3,24
data\fall_data\Subject1\Activity1\3\img_000025.png,no_fall,0,Subject1,Activity1,3,25
data\fall_data\Subject1\Activity1\3\img_000026.png,no_fall,0,Subject1,Activity1,3,26
data\fall_data\Subject1\Activity1\3\img_000027.png,no_fall,0,Subject1,Activity1,3,27
data\fall_data\Subject1\Activity1\3\img_000028.png,pre_fall,1,Subject1,Activity1,3,28
data\fall_data\Subject1\Activity1\3\img_000029.png,pre_fall,1,Subject1,Activity1,3,29
data\fall_data\Subject1\Activity1\3\img_000030.png,pre_fall,1,Subject1,Activity1,3,30
data\fall_data\Subject1\Activity1\3\img_000031.png,pre_fall,1,Subject1,Activity1,3,31
data\fall_data\Subject1\Activity1\3\img_000032.png,pre_fall,1,Subject1,Activity1,3,32
data\fall_data\Subject1\Activity1\3\img_000033.png,pre_fall,1,Subject1,Activity1,3,33
data\fall_data\Subject1\Activity1\3\img_000034.png,pre_fall,1,Subject1,Activity1,3,34
data\fall_data\Subject1\Activity1\3\img_000035.png,pre_fall,1,Subject1,Activity1,3,35
data\fall_data\Subject1\Activity1\3\img_000036.png,fall,2,Subject1,Activity1,3,36
data\fall_data\Subject1\Activity1\3\img_000037.png,fall,2,Subject1,Activity1,3,37
data\fall_data\Subject1\Activity1\3\img_000038.png,fall,2,Subject1,Activity1,3,38
data\fall_data\Subject1\Activity1\3\img_000039.png,fall,2,Subject1,Activity1,3,39
data\fall_data\Subject1\Activity1\3\img_000040.png,fall,2,Subject1,Activity1,3,40
data\fall_data\Subject1\Activity1\3\img_000041.png,fall,2,Subject1,Activity1,3,41
data\fall_data\Subject1\Activity1\3\img_000042.png,fall,2,Subject1,Activity1,3,42
data\fall_data\Subject1\Activity1\3\img_000043.png,fall,2,Subject1,Activity1,3,43
data\fall_data\Subject1\Activity1\3\img_000044.png,fall,2,Subject1,Activity1,3,44
data\fall_data\Subject1\Activity1\3\img_000045.png,fall,2,Subject1,Activity1,3,45
data\fall_data\Subject1\Activity1\3\img_000046.png,fall,2,Subject1,Activity1,3,46
data\fall_data\Subject1\Activity1\3\img_000047.png,fall,2,Subject1,Activity1,3,47
data\fall_data\Subject1\Activity1\3\img_000048.png,fall,2,Subject1,Activity1,3,48
data\fall_data\Subject1\Activity1\3\img_000049.png,fall,2,Subject1,Activity1,3,49
data\fall_data\Subject1\Activity1\3\img_000050.png,fall,2,Subject1,Activity1,3,50
data\fall_data\Subject1\Activity1\3\img_000051.png,fall,2,Subject1,Activity1,3,51
data\fall_data\Subject1\Activity1\3\img_000052.png,fall,2,Subject1,Activity1,3,52
data\fall_data\Subject1\Activity1\3\img_000053.png,fall,2,Subject1,Activity1,3,53
data\fall_data\Subject1\Activity1\3\img_000054.png,fall,2,Subject1,Activity1,3,54
data\fall_data\Subject1\Activity1\3\img_000055.png,fall,2,Subject1,Activity1,3,55
data\fall_data\Subject1\Activity1\3\img_000056.png,fall,2,Subject1,Activity1,3,56
data\fall_data\Subject1\Activity1\3\img_000057.png,fall,2,Subject1,Activity1,3,57
data\fall_data\Subject1\Activity1\3\img_000058.png,fall,2,Subject1,Activity1,3,58
data\fall_data\Subject1\Activity1\3\img_000059.png,fall,2,Subject1,Activity1,3,59
data\fall_data\Subject1\Activity1\3\img_000060.png,fall,2,Subject1,Activity1,3,60
data\fall_data\Subject1\Activity1\3\img_000061.png,fall,2,Subject1,Activity1,3,61
data\fall_data\Subject1\Activity1\3\img_000062.png,fall,2,Subject1,Activity1,3,62
data\fall_data\Subject1\Activity1\3\img_000063.png,fall,2,Subject1,Activity1,3,63
data\fall_data\Subject1\Activity1\3\img_000064.png,fall,2,Subject1,Activity1,3,64
data\fall_data\Subject1\Activity1\4\img_000001.png,no_fall,0,Subject1,Activity1,4,1
data\fall_data\Subject1\Activity1\4\img_000002.png,no_fall,0,Subject1,Activity1,4,2
data\fall_data\Subject1\Activity1\4\img_000003.png,no_fall,0,Subject1,Activity1,4,3
data\fall_data\Subject1\Activity1\4\img_000004.png,no_fall,0,Subject1,Activity1,4,4
data\fall_data\Subject1\Activity1\4\img_000005.png,no_fall,0,Subject1,Activity1,4,5
data\fall_data\Subject1\Activity1\4\img_000006.png,no_fall,0,Subject1,Activity1,4,6
data\fall_data\Subject1\Activity1\4\img_000007.png,no_fall,0,Subject1,Activity1,4,7
data\fall_data\Subject1\Activity1\4\img_000008.png,no_fall,0,Subject1,Activity1,4,8
data\fall_data\Subject1\Activity1\4\img_000009.png,no_fall,0,Subject1,Activity1,4,9
data\fall_data\Subject1\Activity1\4\img_000010.png,no_fall,0,Subject1,Activity1,4,10
data\fall_data\Subject1\Activity1\4\img_000011.png,no_fall,0,Subject1,Activity1,4,11
data\fall_data\Subject1\Activity1\4\img_000012.png,no_fall,0,Subject1,Activity1,4,12
