kp_0,kp_1,kp_2,kp_3,kp_4,kp_5,kp_6,kp_7,kp_8,kp_9,kp_10,kp_11,kp_12,kp_13,kp_14,kp_15,kp_16,kp_17,kp_18,kp_19,kp_20,kp_21,kp_22,kp_23,kp_24,kp_25,kp_26,kp_27,kp_28,kp_29,kp_30,kp_31,kp_32,kp_33,activity,label
0.6488852,0.44168922,0.65648,0.42888176,0.6498361,0.42852697,0.6902768,0.42845067,0.6725755,0.42659628,0.7337146,0.5092753,0.6718435,0.49886698,0.7536747,0.64545065,0.6725252,0.6108418,0.724531,0.74415976,0.6635957,0.6892843,0.7222573,0.73421806,0.68194836,0.72589606,0.73114616,0.87290436,0.6886848,0.86236423,0.729606,0.9907914,0.7049336,0.97405493,Subject1_Activity1_1,0
0.64822674,0.44186047,0.65639156,0.4290353,0.64910024,0.42807376,0.69051427,0.4290136,0.6712628,0.42593822,0.7329626,0.5095779,0.6706421,0.5002196,0.75022763,0.64511067,0.6707742,0.61166793,0.71289676,0.73240316,0.65197587,0.67876977,0.7240919,0.7359248,0.6828829,0.72767884,0.73465127,0.87365246,0.68822634,0.8618487,0.7325226,0.99311924,0.70367074,0.9722517,Subject1_Activity1_1,0
0.64802736,0.44231126,0.65624046,0.42938194,0.6486775,0.42836592,0.6906468,0.42865735,0.6707072,0.42570034,0.7324674,0.5086574,0.67104816,0.49945402,0.7486098,0.64507526,0.6682848,0.6102235,0.7086793,0.7311118,0.6465743,0.6724399,0.7236242,0.7323621,0.68321276,0.7240314,0.7329461,0.8734604,0.68884116,0.86151725,0.7320979,0.99603665,0.7043647,0.97472,Subject1_Activity1_1,0
0.64716977,0.44278395,0.6552018,0.4297402,0.64759547,0.42895672,0.68966764,0.42816782,0.6693124,0.42597032,0.73249656,0.5073364,0.6705095,0.49795163,0.74743384,0.6414281,0.66454375,0.6036808,0.7037825,0.72631234,0.64278644,0.6650383,0.72410196,0.726433,0.68314034,0.7179674,0.7331194,0.8688423,0.6877009,0.85676134,0.7333493,0.99598175,0.7014788,0.97550696,Subject1_Activity1_1,0
0.6471228,0.4446609,0.6548401,0.43126476,0.64702564,0.43061918,0.68936414,0.42746308,0.6685265,0.42602813,0.73262805,0.50626725,0.670938,0.49670228,0.7466302,0.6410015,0.66280717,0.6027612,0.7014423,0.7256033,0.64056104,0.66892636,0.72275966,0.7269395,0.6822403,0.7183949,0.7311447,0.87211335,0.6887514,0.86003447,0.7325103,0.9966544,0.7034276,0.97841376,Subject1_Activity1_1,0
0.647119,0.4446066,0.6550208,0.43132117,0.6470896,0.43074012,0.6894707,0.4286123,0.66860074,0.42709792,0.7319282,0.50728136,0.6710361,0.49798778,0.7465388,0.6407373,0.6613187,0.60316133,0.7020797,0.7267961,0.6404179,0.6680657,0.7229216,0.72778225,0.68309087,0.7194593,0.7313599,0.8732468,0.6904309,0.8612634,0.7319917,0.99809915,0.7032013,0.97917944,Subject1_Activity1_1,0
0.6461322,0.44533604,0.6537056,0.43231007,0.64674133,0.43148863,0.6883117,0.42921603,0.66957784,0.42715204,0.73135275,0.50804657,0.670073,0.4979059,0.74566245,0.6426438,0.66089314,0.60386837,0.7064578,0.7320106,0.64077365,0.6701596,0.7217209,0.7288223,0.68151516,0.7202867,0.7310774,0.87171566,0.6876194,0.860111,0.7326057,0.99401,0.70287246,0.9754989,Subject1_Activity1_1,0
0.6457221,0.44592386,0.65337795,0.43291363,0.646337,0.4319355,0.6881611,0.42974374,0.6691392,0.4272698,0.73029,0.50812995,0.669595,0.49843985,0.74436104,0.6425005,0.6614229,0.605578,0.7090432,0.73450416,0.64252156,0.6706224,0.72110015,0.72973406,0.68123525,0.72173655,0.73221684,0.87144744,0.6891226,0.8609701,0.73250157,0.9946272,0.70342207,0.9765295,Subject1_Activity1_1,0
0.644922,0.44561744,0.65222067,0.43264252,0.64571935,0.43183407,0.6867498,0.4290569,0.6689852,0.42702225,0.7299288,0.50713915,0.6681374,0.4991791,0.74408287,0.64306766,0.66244435,0.61188,0.7134492,0.73920137,0.6458976,0.68312716,0.72026384,0.7318637,0.6800944,0.7248458,0.73036987,0.8728291,0.68934053,0.8643773,0.7279207,0.99169064,0.7060226,0.9761137,Subject1_Activity1_1,0
0.64430755,0.44643244,0.6511163,0.43309927,0.64508766,0.43263674,0.6856125,0.42831084,0.6693001,0.42711872,0.7300946,0.50748664,0.66943675,0.49926704,0.7450647,0.64341116,0.6638175,0.6105438,0.71607035,0.74198705,0.64949864,0.6814826,0.71919316,0.7354901,0.6801844,0.72836274,0.7276419,0.8802579,0.6911096,0.87260795,0.72494584,0.9949524,0.70895875,0.98178667,Subject1_Activity1_1,0
0.64461416,0.4462395,0.65153486,0.4330284,0.64530486,0.4325825,0.6859208,0.42869928,0.668827,0.42743844,0.7286182,0.5073945,0.66958386,0.49949566,0.74523085,0.64399695,0.6663717,0.6136534,0.7222559,0.74896765,0.65427583,0.6879791,0.7179729,0.7328212,0.68019164,0.72603256,0.72540826,0.8738207,0.6902806,0.8669514,0.72385186,0.99192715,0.7083483,0.9788745,Subject1_Activity1_1,0
0.64379805,0.4467249,0.6508848,0.4334633,0.6441556,0.4333126,0.6853387,0.4291885,0.6669107,0.42837426,0.72782725,0.5072627,0.6687375,0.49951258,0.7463863,0.6436276,0.66858596,0.61397713,0.7284954,0.7513839,0.661354,0.6885567,0.7174526,0.7344347,0.6798973,0.72799563,0.7226914,0.8769191,0.6907475,0.8712026,0.72176313,0.9910996,0.710174,0.9799413,Subject1_Activity1_1,0
0.64324564,0.44663686,0.6502173,0.43369347,0.6440776,0.43346852,0.6848782,0.42974228,0.6678715,0.42854387,0.7268779,0.5063959,0.6698,0.49824378,0.7463188,0.6418132,0.670386,0.61356723,0.73042613,0.7485477,0.66307515,0.6922058,0.7168132,0.73272395,0.68055767,0.72633725,0.7242567,0.872913,0.6922948,0.8668997,0.72314864,0.98921627,0.7102337,0.9773749,Subject1_Activity1_1,0
0.6421078,0.44678435,0.6491875,0.4336664,0.6428148,0.4332453,0.68422747,0.42918795,0.6666155,0.42740533,0.7257028,0.5062549,0.6711273,0.4963882,0.74618095,0.64241135,0.67579216,0.6133469,0.73027307,0.7513103,0.66640913,0.70363605,0.71580774,0.734159,0.68096954,0.72708184,0.7250815,0.8732777,0.69322973,0.865719,0.724033,0.9891787,0.70959663,0.9764499,Subject1_Activity1_1,0
0.6424215,0.44694677,0.6492569,0.43375334,0.6430225,0.4334691,0.68385464,0.42891583,0.6666512,0.42779908,0.7266755,0.5060587,0.6698994,0.49746063,0.74604744,0.64379805,0.67172205,0.61393243,0.7276455,0.75183976,0.66254765,0.6943103,0.71737427,0.7333297,0.6811982,0.72654915,0.72402745,0.8747092,0.69180685,0.8680115,0.7239987,0.9917127,0.71076196,0.97954416,Subject1_Activity1_1,0
0.6422428,0.44679302,0.64895,0.4337452,0.64322394,0.4334837,0.68351054,0.42948085,0.6674887,0.42840162,0.7273134,0.50689006,0.6693798,0.49859923,0.74673676,0.64391464,0.6694678,0.61383885,0.7256629,0.74968505,0.66148084,0.6910288,0.7182445,0.73341876,0.68105423,0.7266142,0.7254009,0.8745939,0.6902514,0.86759585,0.72544426,0.99205136,0.7084619,0.97886664,Subject1_Activity1_1,0
0.64222366,0.4463339,0.6492569,0.43348843,0.64334005,0.43294805,0.6843203,0.42980507,0.6674519,0.42797792,0.72756946,0.50706255,0.66902024,0.49816522,0.7460799,0.6433746,0.6680323,0.612619,0.7221068,0.7461883,0.6601103,0.68993896,0.71922314,0.73090136,0.6815046,0.72372615,0.7263077,0.8708479,0.6901725,0.8625423,0.72575283,0.98959136,0.7074632,0.97424114,Subject1_Activity1_1,0
0.64225346,0.44651318,0.649207,0.43361858,0.6433369,0.43313777,0.68416154,0.42975467,0.66721696,0.42822498,0.72846395,0.5069931,0.66793275,0.49926677,0.74535066,0.64330685,0.66542304,0.6143798,0.7183803,0.74279356,0.6575991,0.69074875,0.72163457,0.7292951,0.68245953,0.7225529,0.7272741,0.87022406,0.6889248,0.8622325,0.72758687,0.9895651,0.70776266,0.97454584,Subject1_Activity1_1,0
0.6423731,0.44760954,0.649179,0.43457782,0.64339375,0.4338143,0.6840664,0.42981845,0.66783994,0.42789802,0.7284196,0.50705415,0.66920435,0.49843445,0.74305934,0.64379835,0.6656628,0.61205626,0.71408385,0.74105453,0.6514283,0.6857035,0.72102636,0.73276,0.68221277,0.7255681,0.73039365,0.87462986,0.6893514,0.8661629,0.72934836,0.99294245,0.70513105,0.97784483,Subject1_Activity1_1,0
0.6419759,0.44674274,0.64924675,0.43384835,0.6431677,0.43293834,0.68468714,0.4300941,0.6674198,0.427529,0.728292,0.5074133,0.66826767,0.49886817,0.7419582,0.6432343,0.6643636,0.6110529,0.71210366,0.7396068,0.64891785,0.6812871,0.7220688,0.732077,0.682572,0.7248729,0.7314339,0.8719011,0.6888866,0.86318547,0.7300367,0.9920765,0.70456374,0.9753809,Subject1_Activity1_1,0
0.64208144,0.4477428,0.64912367,0.43495193,0.6434149,0.4339347,0.6843411,0.43085727,0.66793334,0.42823723,0.7287189,0.5084412,0.66766804,0.49909094,0.7415709,0.64432544,0.66253537,0.610333,0.7110624,0.7379391,0.6470327,0.6817475,0.7224324,0.7317231,0.68184066,0.7242548,0.7335426,0.8734402,0.6868615,0.8641927,0.7344391,0.99233305,0.7033762,0.9759646,Subject1_Activity1_1,0
0.64224166,0.44819853,0.6492266,0.43529272,0.64332855,0.43419316,0.68444866,0.43019855,0.6673891,0.42762622,0.7286789,0.5072837,0.6675491,0.49810082,0.74147105,0.6432041,0.66231847,0.6093653,0.710836,0.73697346,0.64615524,0.6804501,0.7220423,0.73091954,0.68144894,0.72349197,0.7325093,0.8703289,0.6864578,0.86119413,0.7339335,0.9894415,0.7037234,0.9732813,Subject1_Activity1_1,0
0.6420193,0.44841525,0.6489071,0.43542835,0.64305294,0.43445343,0.68390125,0.43030283,0.66722435,0.42807433,0.7283067,0.5076077,0.6675233,0.49892128,0.74149275,0.643294,0.66243875,0.6102986,0.7107601,0.7358701,0.6453314,0.6808144,0.7216297,0.73115593,0.6811946,0.7239647,0.7331907,0.87266475,0.6867243,0.8638582,0.735665,0.99131626,0.70443517,0.9757891,Subject1_Activity1_1,0
0.6411592,0.4477229,0.64833224,0.4347717,0.6422422,0.43371215,0.6836545,0.43024987,0.6659491,0.42762974,0.7273928,0.5079075,0.66644126,0.499461,0.7406904,0.64349,0.66282696,0.6122297,0.71077865,0.7370666,0.64640635,0.68527293,0.7220103,0.7304586,0.68130803,0.72338396,0.73312205,0.868588,0.6855032,0.8595914,0.73558927,0.9887106,0.702991,0.9721598,Subject1_Activity1_1,0
0.64012116,0.4472689,0.6471365,0.43470773,0.6417601,0.4336546,0.68195283,0.43175578,0.6666803,0.4288726,0.7261154,0.5094442,0.66633284,0.50003934,0.74015796,0.64505523,0.6637842,0.6114647,0.7104053,0.7393429,0.64904356,0.68302554,0.72123665,0.7327015,0.68120575,0.7252795,0.7334014,0.8757794,0.68559533,0.86633927,0.73513883,0.99256855,0.70247644,0.9751948,Subject1_Activity1_1,0
0.6392694,0.4470567,0.6466363,0.43484676,0.6412338,0.4339111,0.68128484,0.4341977,0.6661321,0.4310656,0.72382087,0.51126885,0.66571236,0.5024315,0.73987144,0.6455291,0.66454166,0.6143982,0.7124175,0.741634,0.6516014,0.6862031,0.72073305,0.73305047,0.6820799,0.7259741,0.73155546,0.87443316,0.6862397,0.8649725,0.73371744,0.99208367,0.7035196,0.97304463,Subject1_Activity1_1,0
0.6384242,0.44683808,0.645736,0.43421417,0.6399493,0.43368638,0.6805465,0.43267277,0.6646484,0.4305289,0.72316355,0.51033366,0.66573995,0.5024082,0.73997045,0.6450023,0.6648818,0.61606926,0.71360886,0.7437227,0.65344435,0.6916757,0.71849436,0.7360376,0.68087304,0.7293464,0.72740084,0.8806861,0.6881382,0.872233,0.7288128,0.99520504,0.7060904,0.97864914,Subject1_Activity1_1,0
0.63762397,0.4475565,0.64496225,0.43490458,0.639017,0.43446416,0.68027896,0.43272,0.66347563,0.4307278,0.72263116,0.50970393,0.66525203,0.5016603,0.7392279,0.64408803,0.664931,0.6151896,0.7150355,0.7431984,0.6544732,0.69160783,0.7179567,0.7347588,0.6801654,0.7282479,0.7282144,0.87676686,0.6880091,0.86887556,0.73035556,0.99141073,0.70512646,0.9759414,Subject1_Activity1_1,0
0.63743323,0.44810545,0.6446237,0.43520397,0.6382173,0.4348738,0.6795169,0.43190512,0.6614153,0.43042797,0.72168344,0.5086838,0.66489863,0.5002533,0.73905987,0.64318824,0.6652092,0.6136935,0.71720356,0.7433764,0.6555634,0.6930475,0.71712565,0.7316224,0.67996264,0.7251123,0.7259781,0.87015736,0.6875552,0.8624759,0.7287086,0.988224,0.7045075,0.9743129,Subject1_Activity1_1,0
0.6359359,0.4479801,0.6435272,0.43506175,0.63641137,0.43477058,0.6783199,0.43225986,0.65866125,0.4306544,0.7190651,0.5094148,0.66284573,0.5004835,0.73758036,0.6427352,0.66544455,0.61302495,0.71739405,0.7465804,0.6548779,0.6989358,0.71402943,0.7342658,0.6778631,0.7277356,0.72166187,0.8777951,0.6891957,0.8699383,0.7244312,0.99026316,0.70933074,0.9767437,Subject1_Activity1_1,0
0.6337479,0.44810674,0.6414384,0.43548244,0.6344597,0.43554658,0.6757292,0.4345635,0.6569031,0.43337274,0.7161314,0.51076204,0.6611855,0.5017214,0.73634356,0.64147764,0.6645908,0.61141646,0.7161813,0.7445144,0.65457886,0.69964755,0.712592,0.7344511,0.676964,0.7281824,0.7234689,0.88036484,0.68979305,0.87232745,0.72926515,0.9931811,0.71010906,0.97978836,Subject1_Activity1_1,0
0.63296574,0.44888702,0.6407666,0.43618083,0.63355565,0.4359482,0.6755127,0.43443212,0.65570265,0.43274692,0.7161104,0.51092315,0.6600265,0.5013442,0.7357566,0.6430077,0.6630946,0.61079466,0.71537966,0.74515414,0.6520024,0.6946199,0.71292347,0.73435324,0.6765013,0.7276523,0.7223992,0.87905204,0.68805444,0.87046707,0.7283651,0.9924486,0.7095795,0.97806823,Subject1_Activity1_1,0
0.6323634,0.44978324,0.6402588,0.43672365,0.6322403,0.4365047,0.6749535,0.43391895,0.65303695,0.43255743,0.7156252,0.5108068,0.65877664,0.5014563,0.73494685,0.64374405,0.66139346,0.61072516,0.7146378,0.74484074,0.64975846,0.6912429,0.71336156,0.7338737,0.67652476,0.7273033,0.7222729,0.8783855,0.6891088,0.8700249,0.728041,0.9916721,0.7105767,0.97823554,Subject1_Activity1_1,0
0.631236,0.45026845,0.6401126,0.437134,0.62975764,0.4361423,0.67559236,0.4331575,0.6476801,0.43004,0.71358126,0.51194435,0.65410846,0.50159603,0.73623055,0.6520254,0.6587337,0.6124095,0.70913357,0.75222147,0.64180106,0.69324833,0.7113854,0.7323554,0.6720129,0.72531885,0.7187279,0.8909388,0.679985,0.8805793,0.7337901,1.0,0.70495,0.9881258,Subject1_Activity1_1,0
0.633477,0.4490208,0.6422878,0.43513545,0.6312452,0.4347481,0.67763287,0.43025726,0.6482977,0.42862612,0.7154106,0.5094109,0.6588079,0.49950567,0.7356837,0.65180707,0.6620092,0.6092864,0.7030677,0.7501281,0.6404023,0.68491125,0.71354675,0.7279548,0.6756999,0.7205548,0.7169365,0.8821507,0.67783064,0.8719029,0.7345732,1.0,0.69987255,0.98952085,Subject1_Activity1_1,0
0.6361322,0.44972843,0.64714223,0.43438265,0.63219625,0.4338069,0.68262714,0.4311316,0.64509004,0.42932653,0.7172524,0.51084644,0.65861434,0.50055546,0.7313854,0.6489185,0.66049236,0.61009485,0.6997079,0.74489623,0.63655066,0.6805482,0.71379584,0.7284227,0.6751961,0.7204641,0.7191548,0.87375736,0.68521494,0.8633553,0.7310408,0.99582094,0.70613617,0.98240143,Subject1_Activity1_1,0
0.6456196,0.45102695,0.6560068,0.43472078,0.6380048,0.43441406,0.6866587,0.4270742,0.6427986,0.4269468,0.71680015,0.5041604,0.65853435,0.49442318,0.7301114,0.6501362,0.65408033,0.6043385,0.6904851,0.7455212,0.63094455,0.6765002,0.7180605,0.72055584,0.67982644,0.7140719,0.71253735,0.87082547,0.680768,0.8614892,0.7326867,0.9950403,0.7011699,0.98465466,Subject1_Activity1_1,0
0.6482889,0.45032847,0.65963143,0.4341076,0.64037365,0.4333687,0.69011086,0.42807403,0.6439039,0.42685983,0.7177084,0.50548214,0.6573091,0.49550676,0.72941196,0.6485896,0.6508331,0.6040319,0.68705505,0.7396068,0.6268664,0.67506075,0.7156305,0.7228067,0.6762763,0.7162609,0.71254677,0.874562,0.6821164,0.8645596,0.73007554,0.9972517,0.70235705,0.9856856,Subject1_Activity1_1,0
0.65429777,0.45121884,0.66528124,0.4338683,0.6443809,0.43471414,0.6943151,0.42518774,0.64412063,0.42823514,0.7218308,0.50248325,0.65585345,0.49445808,0.7264395,0.64708084,0.6431711,0.600877,0.67665976,0.74232495,0.61823684,0.68072766,0.71706057,0.72215134,0.67469853,0.7167871,0.71309704,0.8785883,0.6845639,0.87101114,0.7279477,0.99519867,0.7064255,0.99198204,Subject1_Activity1_1,0
0.6606814,0.44815695,0.6725362,0.4307159,0.6498399,0.43147832,0.69821256,0.42624176,0.64429635,0.42845628,0.7220382,0.5064924,0.65155303,0.4977349,0.72740006,0.6460474,0.6386827,0.6005738,0.6749868,0.73601586,0.61689067,0.6822149,0.71774536,0.7216939,0.67282355,0.71646726,0.71325463,0.88020283,0.6848034,0.87145084,0.7263999,0.9950117,0.70901674,0.9907969,Subject1_Activity1_1,0
0.660905,0.44778967,0.67305344,0.43039533,0.65009713,0.43109962,0.6990897,0.42647284,0.6446951,0.42851922,0.7224812,0.50715095,0.65131044,0.49919993,0.7280521,0.6455621,0.637276,0.6019415,0.6760476,0.73723084,0.6153254,0.68263686,0.7170984,0.72547823,0.6715538,0.7205912,0.7151267,0.88029253,0.68477076,0.87202257,0.72690517,0.99256355,0.70654595,0.98791593,Subject1_Activity1_1,0
0.6602859,0.44857323,0.6735223,0.4297298,0.64824533,0.431485,0.70030713,0.42764148,0.6417941,0.43276352,0.72315884,0.51005816,0.6499223,0.503857,0.7297191,0.64281625,0.6364734,0.60444075,0.6892547,0.73615944,0.61557645,0.6819705,0.71265745,0.7238634,0.66633207,0.7190877,0.71403015,0.87101746,0.68286633,0.8647309,0.72267646,0.9872632,0.7051689,0.9894365,Subject1_Activity1_1,0
0.6602094,0.44823116,0.67344964,0.42958736,0.64822906,0.4312278,0.7001156,0.42779508,0.64158124,0.43271038,0.723302,0.5097726,0.6492468,0.50382316,0.73146933,0.6411051,0.6358714,0.6037936,0.69377816,0.73612887,0.6155597,0.6825705,0.71280956,0.7192303,0.66541994,0.7144816,0.7161239,0.8636979,0.6789019,0.85735005,0.7256985,0.98330045,0.69881296,0.98483104,Subject1_Activity1_1,0
0.6581305,0.44929057,0.6716983,0.43023765,0.64593554,0.4320622,0.6986281,0.42827052,0.6393954,0.43344843,0.7203732,0.5123586,0.6468465,0.5074051,0.73565453,0.6428865,0.6388404,0.60797995,0.705804,0.74344534,0.6177616,0.68443125,0.7044841,0.7288692,0.6580762,0.7244896,0.71233886,0.8769675,0.68043584,0.87168455,0.72455543,0.985438,0.7065757,0.9877809,Subject1_Activity1_1,0
0.6556253,0.45062456,0.6678871,0.43303448,0.6447843,0.4338776,0.6950027,0.4273786,0.64066005,0.42985007,0.71825784,0.5064464,0.64587057,0.500829,0.73735803,0.64403987,0.63783145,0.60670626,0.707763,0.7526804,0.61719084,0.69016194,0.7052755,0.73221904,0.65899754,0.7285791,0.71398723,0.8850472,0.6797918,0.88041943,0.73123187,0.9923583,0.7056302,0.99086124,Subject1_Activity1_1,0
0.6472733,0.4523194,0.6587279,0.43468004,0.63779587,0.43636107,0.68785685,0.42772245,0.6378614,0.43204913,0.7115041,0.5054849,0.6465754,0.503287,0.7305068,0.6421428,0.63552403,0.61144525,0.708347,0.75492805,0.6162005,0.69588494,0.7019915,0.7239861,0.66020215,0.72225666,0.7071881,0.87416285,0.6794289,0.8731059,0.7257387,0.9851096,0.7037693,0.9863168,Subject1_Activity1_1,0
0.6402116,0.45123515,0.6520993,0.4344074,0.6319822,0.43571663,0.6830395,0.4300961,0.63514584,0.4330912,0.7075146,0.507522,0.64467186,0.5043542,0.72604865,0.64355624,0.6321117,0.6114686,0.7056019,0.75808436,0.61295635,0.6946602,0.6997166,0.72046334,0.6590398,0.71847683,0.70673865,0.8700595,0.6788265,0.86880124,0.7258525,0.9882843,0.7011884,0.9875025,Subject1_Activity1_1,0
0.6239395,0.4551983,0.63450044,0.44105837,0.6203681,0.44041172,0.66921836,0.43603075,0.6326162,0.4342476,0.7036603,0.51102227,0.63718474,0.5027184,0.71080923,0.65242136,0.62199104,0.6088851,0.67642003,0.7692275,0.59356135,0.693818,0.7094758,0.7154079,0.66505843,0.71037686,0.7086853,0.8752707,0.66813344,0.8685438,0.7261719,0.9981654,0.6968994,0.9850181,Subject1_Activity1_1,0
0.616813,0.45463824,0.6271734,0.44017,0.6138992,0.43980962,0.6628139,0.43761873,0.6287831,0.43477228,0.69816965,0.51794595,0.6370612,0.50234497,0.6999984,0.6554278,0.61759067,0.60136825,0.6622135,0.7654489,0.5871338,0.6897038,0.70412093,0.7348976,0.6644723,0.7266389,0.70958513,0.8851036,0.6743545,0.8739912,0.7242327,0.9994501,0.6976821,0.98785543,Subject1_Activity1_1,0
0.60924953,0.4572935,0.6181647,0.44374844,0.6079577,0.44329786,0.65335417,0.44032487,0.6267529,0.43803546,0.69294953,0.5176765,0.6320155,0.5049171,0.6874582,0.65721476,0.60764223,0.6071068,0.6401333,0.7584486,0.5679549,0.69141114,0.7020799,0.7401493,0.66117287,0.7325961,0.70804065,0.8936839,0.6619156,0.8833241,0.7240369,1.0,0.6836862,0.99277735,Subject1_Activity1_1,0
0.5943505,0.46297678,0.60221314,0.44776556,0.59380335,0.4480473,0.63690907,0.4417119,0.61589086,0.43969992,0.67320246,0.52023214,0.62562984,0.50324214,0.64939904,0.6476872,0.5906645,0.58798873,0.58878547,0.7440638,0.5457453,0.66457593,0.69021195,0.73357534,0.65927404,0.7260322,0.6929451,0.88291657,0.66704875,0.8746292,0.70762664,1.0,0.69530874,1.0,Subject1_Activity1_1,0
